name,addr
建芳藥局,台北市德行東路148號
建祥武昌藥局,台北市武昌街一段29號
建祥藥局,台北市寧夏路17號
建華藥局,台北市中央北路二段80號
建誠中西藥局,台北市龍江路385之1號
建興藥局,台北市木柵路二段81號
後港五代全民藥局,台北市和豐街6號
思恩藥局,台北市成功路4段61巷26號
政大康承健保藥局,台北市指南路二段8號
政昇藥局,台北市南京東路5段356號
施寶藥局,台北市安東街50之5號
春鄰藥局,台北市長安西路35號
昱仁藥局,台北市光明路102號
昶青林森藥局,台北市林森北路119巷52號
昶青藥局,台北市康定路96號
柏祥藥局,台北市西藏路141號
柏雅大藥局,台北市德行西路64號
柯藥局,台北市重慶北路三段335巷6號
洪安藥局,台北市青年路168巷50號
洪暘藥局,台北市富陽街86號
活力健康藥妝藥局,台北市中華路二段315巷1號
皇佳大藥局,台北市松山路541巷19號
皇昇大藥局,台北市松山路210號
皇祥藥局,台北市萬青街165號
皇興藥師藥局,台北市木柵路2段121號
美日藥局,台北市天津街66號
美迦藥局,台北市保儀路23號
美康正康藥局,台北市北安路616之1號
美康藥局,台北市明德路90號
美德中坡藥局,台北市中坡南路33、35號
美德天母藥局,台北市天母東路11號
美德永春藥局,台北市松山路292巷17號
美德光復藥局,台北市光復南路449之1號
美德延康藥局,台北市健康路325巷36號
美德樂業藥局,台北市樂業街162號
美優康藥局,台北市民生東路四段117之1號
美麗田藥局,台北市通河街78號
致遠春天藥局,台北市致遠一路一段132號
致遠盛康藥局,台北市致遠二路141號
原大藥局,台北市內湖路一段737巷50弄5號
家安健保藥局,台北市德行東路109巷119號
家音藥局,台北市民生東路五段73號
家康藥局,台北市大安路2段86號
家進藥局,台北市合江街131號
家赫藥局,台北市忠義街80號
容育藥局,台北市延平北路六段8號
展佑藥局,台北市長春路146之1號
展恩藥局,台北市民權東路六段136巷4號
展源健康藥局,台北市國興路104號
師大藥局,台北市師大路99號
徐榮三藥局,台北市通安街89號
恩達藥局,台北市梧州街64號
振大藥局,台北市指南路1段23號
振生大藥局,台北市中央北路三段61號
時春藥局,台北市赤峰街4號
晉安健保藥局,台北市衡陽路114號
晏晟藥局,台北市林森北路625號
晟安藥局,台北市金龍路135號
桔子藥局,台北市內湖路二段333號
泰元藥局,台北市哈密街91號
泰成藥局,台北市內湖路三段135號
泰佑藥局,台北市安和路二段72號
泰興藥局,台北市新生北路二段62巷32號
益元藥局,台北市光明路106號
益華藥局,台北市民生東路五段138巷6號
益源藥局,台北市大理街160巷26弄2號
祐民藥局,台北市中央南路一段209號
祐鄰藥局,台北市尊賢街250號
能康藥局,台北市長春路46號
荐荃藥師藥局,台北市虎林街68之3號
貢玄藥局,台北市錦州街207號
酒泉春天藥局,台北市酒泉街94號
高昱藥局,台北市陽光街321巷26號
偉安藥局,台北市西藏路109號
健全藥局,台北市民權東路三段103巷20號
健安藥局,台北市景興路165號
健康人生藥局,台北市興隆路三段106號
健康美藥局,台北市民族西路165號
健康家藥局,台北市興隆路二段133號
健康藥局,台北市寧夏路23號
健涵藥局,台北市舊莊街一段145巷10號
健揚藥局,台北市延平北路五段251號
健華藥局,台北市康定路328號
健園藥局,台北市研究院路一段19號
健群藥局,台北市景興路41號
健誠大藥局,台北市環河南路二段185號
健鑫藥局,台北市大龍街91巷1號
唯康藥局,台北市八德路三段211號
啄木鳥藥局,台北市八德路四段209號
啟仁藥局,台北市環河南路二段177號
啟宏藥局,台北市大東路90之1號
啟春藥局,台北市崇仁路一段102號
啟美藥師藥局,台北市錦州街282號
國杏藥師示範藥局,台北市延平南路171巷3號
國泰維康藥局,台北市仁愛路4段266巷15弄20號
國泰藥師藥局,台北市自強街139之1號
國聖堂藥局,台北市南京東路五段291巷4之1號
娸淇藥局,台北市伊通街95號
婕登藥局,台北市八德路4段699號
專心藥局,台北市伊通街112之2號
專品南京藥局,台北市南京東路四段73號
專品藥局,台北市長沙街二段71之1號
崇光藥局,台北市忠孝東路3段305號
崇信藥局,台北市齊東街88號
康乃馨藥局,台北市建國南路1段327號
康之友藥局,台北市青年路20號
康仁藥局,台北市北安路516之3號
康佑藥局,台北市延平北路五段176號
康杏藥局,台北市福德街306號
康宜庭生活藥局,台北市興隆路四段64號
康宜庭景文藥局,台北市景文街97號
康宜庭萬隆藥局,台北市羅斯福路五段202號
康宜庭興隆藥局,台北市興隆路三段200號
康怡健保藥局,台北市吳興街467巷2弄12號
康林藥局,台北市興安街105號
康采藥局,台北市南京東路五段291巷17之2號
康信藥局,台北市民權東路六段296巷29號
康珆和藥師藥局,台北市光復南路25號
康健信安藥局,台北市信安街151號
康健連鎖藥局,台北市民生西路3巷2之3號
康健藥局,台北市康樂街84號
康祥藥局,台北市忠孝東路4段216巷21號
康揚藥局,台北市中和街322號
康華藥局,台北市中山北路七段14巷2號
康菱藥局,台北市成功路四段30巷38號
康鈺藥局,台北市德行東路133號
康賢藥局,台北市西安街一段359號
康麗藥局,台北市南京東路3段303巷20號
得安藥局,台北市文林路140號
得康藥局,台北市林森北路405號
得揚藥局,台北市忠孝東路五段452號
得意藥師藥局,台北市延平北路二段229號
御安藥局,台北市和平東路3段359號
您永安藥局,台北市昆明街162號
晨安藥局,台北市寧安街9巷8號
晨新藥局,台北市八德路四段91巷1之1號
淮濟藥師藥局,台北市北安路570號
清白藥局,台北市東湖路108號
盛康藥局,台北市吉林路397號
祥全藥局,台北市信義路二段79巷15號
祥安藥局,台北市中坡南路25號
祥泰藥局,台北市林森北路136號
祥新藥局,台北市社子街65號
祥瑞中西大藥局,台北市復興南路1段107巷49號
祥聖大藥局,台北市義理街76號
第一藥局,台北市合江街17巷6號
統一藥局,台北市永吉路30巷28弄5號
連雲藥局,台北市連雲街79號
傑安藥局,台北市八德路二段437巷7弄8號
傑昇藥局,台北市內湖路二段227號
凱玲藥局,台北市青島東路4之6號
勝安藥局,台北市舊莊街一段165號
勝泰藥局,台北市文林路714巷11號
博大藥局,台北市安和路2段65號
博昇藥局,台北市連雲街72號
博信藥局,台北市延平北路六段61號
博昱大藥局,台北市樂業街150號
博昱仁愛藥局,台北市仁愛路4段65號
博昱師大藥局,台北市羅斯福路3段189號
博泉藥局,台北市樂業街66號
博泰藥局,台北市社中街367號
博荃藥局,台北市敦化北路4巷51號
博盛藥局,台北市西昌街142之1號
博惠藥局,台北市華榮街16號
博揚藥局,台北市景興路181號
博興藥局,台北市四維路198巷28號
喜越藥局,台北市內湖路一段285巷59弄7號
喜樂藥局,台北市松德路125號
喬寶活力健康藥局,台北市吳興街3號
壹零捌藥局,台北市成功路4段344號
富山藥局,台北市麗山街364巷2號
富安藥局,台北市萬大路426號
富宥康藥局,台北市北安路608巷5弄22號
富康文德藥局,台北市文德路22巷27弄4號
富康東湖藥局,台北市東湖路119巷49弄16號
富康活力藥局,台北市研究院路一段101巷8號
富康藥局,台北市延平北路二段126號
富盛藥局,台北市成功路四段61巷25弄12號
富景藥局,台北市三民路145號
尊賢藥局,台北市尊賢街212號
惠友藥局,台北市一江街60號
惠良藥局,台北市和平東路3段105號
惠盈藥局,台北市辛亥路二段171巷31號
惠眾藥局,台北市重慶北路三段335巷43號
惠登藥局,台北市民生東路3段130巷34號
惠群藥局,台北市忠孝東路四段559巷38號
敦北藥局,台北市民生東路4段80巷5號
景正藥師中西藥局,台北市福港街152號
景星藥局,台北市南港路三段26號
景美藥局,台北市景文街125號
景華盛康藥局,台北市景華街69號
晴光藥局,台北市農安街23之2號
晶龍藥局,台北市成功路四段218號
港墘達康美得藥局,台北市港墘路83號
湳港藥局,台北市研究院路一段101巷12號
琪基藥局,台北市杭州南路1段89號
舒博威藥局,台北市興隆路二段95巷3號
菁安藥局,台北市美崙街13號
華大藥局,台北市金門街8號
華友藥局,台北市龍江路356巷27號
華君藥局,台北市興隆路二段60號
華南藥局,台北市迪化街二段215號
華倫藥局,台北市永平街80巷10號
華泰藥局,台北市虎林街82巷5號
華康藥局,台北市民生西路3巷2之1號
華達藥局,台北市環河南路二段171號
華齡春天生活藥局,台北市華齡街36、38號
視美藥局,台北市民權東路三段60巷8號
詔安藥局,台北市信義路五段150巷411弄17號
詠恩藥局,台北市延平北路五段316號
詠悅藥局,台北市基隆路2段131之2號
貴臨藥局,台北市永吉路326巷19號
進春藥局,台北市明德路151號
進達健保藥局,台北市中華路二段453號
進慧藥局,台北市研究院路一段163號
逸仙藥師藥局,台北市興隆路二段218之1號
逸帆藥局,台北市錦州街189號
陽明藥局,台北市菁山路10號
隆盛藥局,台北市復興北路50號
順天堂藥局,台北市龍泉街84號
順欣藥局,台北市星雲街73號
順泰藥局,台北市錦州街266號
順翔藥局,台北市研究院路2段170號
順儷天母藥局,台北市士東路99號
匯安藥局,台北市內湖路1段685號
微笑藥師藥局,台北市新生南路1段149之10號
愛佳藥局,台北市承德路四段222之1號
愛維康生活藥局,台北市四維路170巷21號
慈仁藥局,台北市歸綏街261號
慈安藥局,台北市忠順街一段26巷18號
慈海藥局,台北市中原街143號
慈航藥局,台北市文林路441號
新三醫藥局,台北市汀州路三段125號
新介春藥局,台北市酒泉街166號
新六福藥局,台北市漢口街二段55號
新永春藥局,台北市忠孝東路5段423巷1號
新光藥局,台北市八德路三段99巷4號
新安健保藥局,台北市新明路402號
新和平藥局,台北市虎林街198號
新東發藥局,台北市成福路198號
新祥藥局,台北市知行路208號
新富川藥局,台北市大安路1段51巷4號
新陽藥局,台北市光輝路16號
新新藥局,台北市永吉路30巷113號
新廣生藥局,台北市仁愛路四段32號
新德大藥局,台北市饒河街204號
新德星中西藥局,台北市信陽街3號
新興藥局,台北市德行西路117號
新錦安藥局,台北市南港路三段34號
新獻安藥局,台北市羅斯福路一段15號
楊藥局,台北市臨沂街29巷18號
源興藥局,台北市安居街80號
照安藥局,台北市東園街144號
瑞生藥局,台北市西園路二段252號
瑞光藥局,台北市瑞光路212號
瑞安達康美得藥局,台北市瑞安街208巷11弄1號
瑞安藥局,台北市溪口街69之1號
瑞竹藥局,台北市延平北路六段41號
瑞昌大藥局,台北市民權東路三段103巷10號
瑞暉藥局,台北市文德路105號
聖英藥局,台北市仁愛路4段266巷15弄18號
聖晨藥局,台北市農安街140號
聖賢藥局,台北市士商路72號
萬安達康美得藥局,台北市萬安街15號
萬芳藥局,台北市興隆路三段111號
萬信藥局,台北市知行路305號
萬泰藥局,台北市敦化北路222巷38號
萬華健業藥局,台北市東園街68之3號
萬華藥局,台北市萬大路248號
萬隆大藥局,台北市羅斯福路五段218巷15號
葛蘭素藥局,台北市內湖路二段103巷128號
葫光藥局,台北市康寧路三段54巷6號
裕仁藥局,台北市迪化街二段270之1號
裕弘藥局,台北市萬大路486巷77號
裕成藥局,台北市玉成街166巷13號
裕和藥局,台北市萬大路115、117號
裕康藥局,台北市木柵路一段12號
詹有田藥局,台北市大南路127號
資生堂藥局,台北市承德路四段40巷17號
農安盛康藥局,台北市農安街267號
農安藥局,台北市農安街18之1號
達昌藥局,台北市汀州路一段207號
達揚藥局,台北市社正路36號
達隆藥局,台北市興隆路二段3號
鼎泰藥局,台北市基隆路一段155號
嘉禾大藥局,台北市中和街264號
嘉家藥局,台北市天母西路5巷5號
嘉恩藥局,台北市錦州街321號
嘉德藥局,台北市星雲街55號
實踐藥局,台北市實踐街13號
榮昌藥局,台北市雙城街17之3號
榮星藥局,台北市南京東路四段133巷5弄1號
榮泰藥局,台北市光復南路419巷19號
榮勝藥局,台北市萬大路233號
滿順藥局,台北市伊通街54號
福恭藥局,台北市大業路300巷19號
福華藥局,台北市吳興街281巷3號
福德大藥局,台北市中央北路二段19號
綠之家藥局,台北市延壽街428號
綠杏三民藥局,台北市三民路108之29號
綠杏大藥局,台北市吳興街241號
維安藥局,台北市成功路三段174巷23號
維康藥局,台北市石牌路2段191.193號
維爾健康藥局,台北市中山北路7段82巷17號
臺陽藥局,台北市大道路61號
蓁榛健康生活藥局,台北市合江街100之2號
豪益藥局,台北市內湖路一段285巷21號
赫得藥局,台北市康樂街72巷17弄4號
赫慶藥局,台北市瑞安街208巷11弄5號
遠東藥局,台北市南京西路374號
銘依藥局,台北市興隆路二段301巷4之1號
銘德藥局,台北市八德路2段366巷28號
儀安健保藥局,台北市同德路74號
億興中西藥局,台北市臨沂街56之3號
廣福中西藥局,台北市錦州街406號
德川中西藥局,台北市八德路四段96號
德安藥局,台北市八德路三段195號
德行春天生活藥局,台北市德行東路76號
德行盛康藥局,台北市德行東路206之1號
德昇藥局,台北市裕民二路20號
德芳藥局,台北市民生西路91號
德恩藥師藥局,台北市八德路二段378號
德康大藥局,台北市松山路541巷21號
德惠藥局,台北市德惠街122號
德葳藥局,台北市延平北路二段211號
德鴻藥局,台北市玉成街168號
德靈藥局,台北市富錦街548號
慧生藥局,台北市松山路310號
慶安藥局,台北市忠孝東路二段20號
慶昌藥局,台北市延吉街29號
慶豐好藥局,台北市興隆路四段135號
樂活苑藥局,台北市北安路546號
樂活藥師藥局,台北市內湖路2段368號
樂康藥妝藥局,台北市文德路117號
樂齡藥師藥局,台北市內湖路三段103號
褔海大藥局,台北市大同街69號
誼安藥局,台北市通河街42號
黎明藥局,台北市尊賢街253之1號
澴山藥局,台北市環山路一段4號
燕福藥局,台北市羅斯福路三段283巷14弄14號
盧狄聯合藥局,台北市康寧路三段189巷57號
興康源藥局,台北市中山北路1段140巷8號
興雅藥局,台北市松德路128號
親親藥局,台北市玉成街140巷7號
錦州春天生活藥局,台北市錦州街213號
錦西春天生活藥局,台北市錦西街10號
錦康活力藥局,台北市錦州街276號
錫東藥局,台北市萬隆街56號
靜園藥局,台北市和平東路2段118巷57之1號
龍口藥局,台北市艋舺大道120巷35號
龍江藥局,台北市龍江路356巷14號
龍錦藥局,台北市龍江路264號
龍護大藥局,台北市大安路一段224巷7號
優豐藥局,台北市民生東路一段32號
濟仁藥局,台北市濟南路二段22號
濟生中西藥局,台北市崇德街41號
環安藥局,台北市大南路244號
聯合仁愛藥局,台北市大安路一段157巷1之2號
聯合藥局,台北市石牌路一段23號
聯慶大藥局,台北市萬大路306號
鴻恩藥局,台北市中央南路一段129號
鴻盛藥局,台北市慶城街6之1號
鴻濟藥局,台北市永吉路326巷2號
豐仁藥局,台北市寧波西街161號
羅斯福藥局,台北市羅斯福路3段283巷9弄3號
藥本家藥局,台北市中山北路七段14巷26號
關渡松藥局,台北市知行路247號
麗中藥局,台北市福德街217號
麗安藥局,台北市港華街81號
麗亞藥局,台北市雙城街32號
麗恩藥局,台北市林森北路575之5號
麗泰藥局,台北市復興南路2段151巷4號
麗康藥局,台北市同德路51號
麗森藥局,台北市天母西路51號
麗登藥局,台北市文林路261號
麗樺藥師藥局,台北市麗水街3號
寶康大藥局,台北市忠孝東路4段52號
寶德藥局,台北市樂利路105號
寶興大藥局,台北市寶興街119號
馨馨藥局,台北市虎林街82巷19號
儷安藥局,台北市錦西街53巷16號
躍獅大湖藥局,台北市成功路四段339號
躍獅中華藥局,台北市中華路二段484巷8號
躍獅木柵藥局,台北市指南路一段28號
躍獅北安藥局,台北市北安路581號
躍獅永健藥局,台北市木柵路一段177號
躍獅光明藥局,台北市光明路51、53號
躍獅西園藥局,台北市西園路二段260號
躍獅京華藥局,台北市南京東路五段71號
躍獅和樂藥局,台北市樂業街142號
躍獅忠誠藥局,台北市忠義街70號
躍獅東門藥局,台北市金山南路一段108之1號
躍獅東湖藥局,台北市金湖路378號
躍獅松和藥局,台北市八德路四段666之1號
躍獅南門藥局,台北市中華路二段39巷10號
躍獅南寧藥局,台北市南昌路一段81號
躍獅奕新藥局,台北市木新路2段275號
躍獅振榮藥局,台北市石牌路二段165號
躍獅康成藥局,台北市成功路四段61巷11號
躍獅敦和藥局,台北市和平東路三段10號
躍獅景新藥局,台北市羅斯福路六段30號
躍獅新生藥局,台北市和平東路二段20號
躍獅新芳藥局,台北市興隆路三段90號
躍獅雙蓮藥局,台北市涼州街4號
躍獅麗湖藥局,台北市內湖路一段401之1號
躍獅寶湖藥局,台北市民權東路六段123巷28號
